"Id","first_wt","last_wt","change","percentage","avg_daily_mets","avg_high_min","avg_heart_rate","avg_steps","avg_sleep","avg_intensity_minute_per_day","avg_hourly_intensity_per_day","avg_very_active_min","avg_fairly_active_min","avg_lightly_active_min"
"1503960366",53.2999992370605,52.5999984741211,-0.700000762939396,-1.33079996814789,16.88,41.4754098360656,NA,11935.78,360.28,400.360655737705,0.278667394418423,38.7096774193548,19.1612903225806,219.935483870968
"1927972279",129.600006103516,133.5,3.89999389648401,2.92134374268465,11.88,14.8548387096774,NA,1269.06976744186,417,131.854838709677,0.0915658689516129,1.32258064516129,0.774193548387097,38.5806451612903
"2347167796",63.4000015258789,63.4000015258789,0,0,15.72,15.2857142857143,76.3643849717249,9647.12121212121,446.8,352.142857142857,0.244628674319728,13.5,20.5555555555556,252.5
"2873212765",56.7000007629395,57.2999992370605,0.599998474120994,1.04711776982525,15.25,11.7258064516129,NA,7299.25581395349,NA,353.387096774194,0.247653454771505,14.0967741935484,6.12903225806452,308
"2891001357",88.4000015258789,88.4000015258789,0,0,11.67,0,NA,773.625,NA,120,0.166666666666667,NA,NA,NA
"4319703577",72.4000015258789,72.3000030517578,-0.099998474121108,-0.138310470124768,14.33,4.22033898305085,NA,7422.81395348837,476.653846153846,289.050847457627,0.200997425724638,3.58064516129032,12.3225806451613,228.774193548387
"4445114986",92.4000015258789,92.4000015258789,0,0,13.4,6.04838709677419,NA,4632.36956521739,385.178571428571,235.725806451613,0.164041228897849,6.61290322580645,1.74193548387097,209.096774193548
"4558609924",69.4000015258789,69.0999984741211,-0.300003051757812,-0.434157826892236,14.39,6.43548387096774,81.0689887074055,7154.93023255814,127.6,280.387096774194,0.196012551747312,10.3870967741935,13.7096774193548,284.967741935484
"4702921684",99.6999969482422,99.6999969482422,0,0,14.81,4.64516129032258,NA,8367.0652173913,421.142857142857,298.91935483871,0.208689730938416,5.12903225806452,26.0322580645161,237.483870967742
"5577150313",90.6999969482422,90.6999969482422,0,0,18.81,84.655737704918,67.6913460417312,8385.92682926829,432,478.852459016393,0.338185347540984,87.3333333333333,29.8333333333333,147.933333333333
"6962181067",61.5,61.9000015258789,0.400001525878899,0.646206003261031,16.33,25.2741935483871,78.3605787051574,10679.8888888889,448,397.467741935484,0.277374563844086,22.8064516129032,18.5161290322581,245.806451612903
"8253242879",75.5999984741211,75.5999984741211,0,0,11.48,9.38775510204082,NA,4898.06451612903,NA,101.020408163265,0.0704986178423543,20.5263157894737,14.3157894736842,116.894736842105
"8877689391",85.5,84,-1.5,-1.78571428571429,19.78,67.241935483871,83.461513482184,16424.3255813953,NA,458.870967741935,0.319984310752688,66.0645161290323,9.93548387096774,234.709677419355
"1624580081",NA,NA,NA,NA,12.13,5.11290322580645,NA,5167.2,NA,163.145161290323,0.11384970094086,8.67741935483871,5.80645161290323,153.483870967742
"1644430081",NA,NA,NA,NA,14.55,10.2166666666667,NA,7780.925,294,297.166666666667,0.208854182638889,9.56666666666667,21.3666666666667,178.466666666667
"1844505072",NA,NA,NA,NA,11.52,0.403225806451613,NA,2876.02325581395,652,96.9032258064516,0.0672939092741936,0.129032258064516,1.29032258064516,115.451612903226
"2022484408",NA,NA,NA,NA,17.24,43.2741935483871,80.4831506017212,11595.0930232558,NA,424.58064516129,0.296499780241935,36.2903225806452,19.3548387096774,257.451612903226
"2026352035",NA,NA,NA,NA,13.62,0.0483870967741935,83.2619157627087,4960.13953488372,506.178571428571,234.983870967742,0.164975374663978,0.0967741935483871,0.258064516129032,256.645161290323
"2320127002",NA,NA,NA,NA,12.13,0.854838709677419,NA,4276.37209302326,61,140.048387096774,0.0980891614247312,1.35483870967742,2.58064516129032,198.193548387097
"3372868164",NA,NA,NA,NA,14.4,10.06,NA,6616.93333333333,NA,344.6,0.242283338666667,9.15,4.1,327.9
"3977333714",NA,NA,NA,NA,14.13,11.85,NA,10321.5238095238,293.642857142857,278.183333333333,0.193182884027778,18.9,61.2666666666667,174.766666666667
"4020332650",NA,NA,NA,NA,12.9,4.69354838709677,85.7518014722895,4049.7619047619,349.375,132.91935483871,0.0924283165322581,5.19354838709677,5.35483870967742,76.9354838709677
"4057192912",NA,NA,NA,NA,11.07,1.22857142857143,NA,2103.97222222222,NA,64.6285714285714,0.0459424589285714,0.75,1.5,103
"4388161847",NA,NA,NA,NA,16.34,23.1612903225806,66.0538259240773,8595.69230769231,403.125,339.322580645161,0.23699823172043,23.1612903225806,20.3548387096774,229.354838709677
"5553957443",NA,NA,NA,NA,14.09,18.9516129032258,68.0900650072262,8540.62790697674,463.483870967742,275.5,0.19263666155914,23.4193548387097,13,206.193548387097
"6117666160",NA,NA,NA,NA,14.97,3.26315789473684,84.0400951934455,7363,478.777777777778,312.210526315789,0.218969311181032,1.57142857142857,2.03571428571429,288.357142857143
"6290855005",NA,NA,NA,NA,13.14,4.84,NA,4615.84615384615,NA,240.32,0.169954240196078,2.75862068965517,3.79310344827586,227.448275862069
"6391747486",NA,NA,NA,NA,10.2,1.58620689655172,77.5970416298377,1336.88888888889,NA,15.8275862068966,0.0109913778735632,NA,NA,NA
"6775888955",NA,NA,NA,NA,13.25,15.2727272727273,95.9257309204849,3301.22857142857,349.666666666667,177.218181818182,0.124164148181818,11,14.8076923076923,40.1538461538462
"7007744171",NA,NA,NA,NA,16.93,34.7719298245614,90.6189109405325,11619.2894736842,68.5,415.754385964912,0.288718324561404,31.0384615384615,16.2692307692308,280.730769230769
"7086361926",NA,NA,NA,NA,15.13,30.4032258064516,NA,8459.81395348837,453.125,271.290322580645,0.188699349875931,42.5806451612903,25.3548387096774,143.838709677419
"8053475328",NA,NA,NA,NA,17.08,84.1612903225806,NA,14784.5238095238,297,435.032258064516,0.302979388172043,85.1612903225806,9.58064516129032,150.967741935484
"8378563200",NA,NA,NA,NA,15.85,52.6451612903226,NA,8555.16279069767,443.34375,339.887096774194,0.236886214247312,58.6774193548387,10.258064516129,156.096774193548
"8583815059",NA,NA,NA,NA,12.32,5.68965517241379,NA,6346.61538461538,NA,159.327586206897,0.111291434474051,9.67741935483871,22.1935483870968,138.290322580645
"8792009665",NA,NA,NA,NA,11.76,0.88135593220339,74.7299493531469,2217,435.666666666667,92.0169491525424,0.0639006709039548,0.96551724137931,4.03448275862069,91.7931034482759
